# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,14.785124778859227,4.3939858627120465,-147.03536323535926,0,3.5,-1381.1080221145507,0.0,0.0,0.0
 0.008441291854814187,14.785020157287901,4.393918012437752,-147.03536323535926,0.02954452149184965,3.4999999999999996,-1381.1080221145507,0.0,-2443.9191969867807,0.0
 0.0198207044761525,14.784459624445724,4.393867450990939,-174.84572819108163,0.06937246566653375,3.5000000000000004,-72.29486819372077,0.0,-287.5359672605987,0.0
 0.03117537338709246,14.783446849090982,4.393834041414619,-178.1106038993126,0.10911380685482362,3.5000000000000004,-17.58333191299141,0.0,-109.99415111113322,0.0
 0.04250897657126268,14.78198549998196,4.39381764675181,-179.35723396058586,0.14878141799941938,3.4999999999999996,-6.812877817122086,0.0,-58.12467224583018,0.0
 0.05381729447076323,14.780079245876946,4.393818130045527,179.98547376785402,0.1883605306476713,3.5000000000000004,-3.330496005113521,0.0,-35.97832207541625,0.0
 0.06509808250075848,14.777731755534226,4.393835354338784,179.57960994284636,0.2278432887526547,3.5000000000000013,-1.8736592546849757,0.0,-24.485481086869108,0.0
 0.07635011035447413,14.774946697712085,4.393869182674598,179.30409862764526,0.2672253862406595,3.5000000000000027,-1.158348161216666,0.0,-17.755223332939764,0.0
 0.08757264188161636,14.77172774116881,4.39391947809598,179.1048400740199,0.30650424658565734,3.5000000000000036,-0.7663625577266615,0.0,-13.474117967740968,0.0
 0.09876519913112801,14.768078554662686,4.39398610364595,178.95403023727928,0.34567819695894814,3.5000000000000013,-0.5336187534658223,0.0,-10.581526785174015,0.0
 0.10992744889565312,14.764002806951998,4.394068922367523,178.83591659241316,0.3847460711347861,3.5000000000000067,-0.3866982827275317,0.0,-8.535016831441174,0.0
 0.12105914408300225,14.759504166795036,4.3941677973037105,178.74090738662667,0.4237070042905081,3.500000000000005,-0.2893615424206806,0.0,-7.033556989861591,0.0
 0.1321600914102836,14.754586302950084,4.394282591497529,178.6628282409588,0.4625603199359928,3.4999999999999973,-0.22230079301967243,0.0,-5.899118003552024,0.0
 0.14323013260495918,14.749252884175428,4.394413167991995,178.59752476164724,0.5013054641173572,3.49999999999999,-0.17457979426300818,0.0,-5.020906975270737,0.0
 0.1542691329500143,14.743507579229354,4.394559389830124,178.5420989678147,0.53994196532505,3.49999999999999,-0.13968496426725477,0.0,-4.327028533147137,0.0
 0.16527697402537,14.73735405687015,4.394721120054929,178.4944677253933,0.578469409088795,3.499999999999996,-0.1135704751895455,0.0,-3.7691679754344443,0.0
 0.1762535489512062,14.7307959858561,4.394898221709427,178.45309517070288,0.6168874213292217,3.5000000000000027,-0.09363212472786643,0.0,-3.3138786649164316,0.0
 0.18719875917875056,14.723837034945488,4.395090557836632,178.4168240720468,0.655195657125627,3.500000000000005,-0.07814148452472905,0.0,-2.937407891957614,0.0
 0.19811251226932597,14.716480872896605,4.39529799147956,178.38476592758767,0.6933937929426409,3.5,-0.0659204129565739,0.0,-2.6225086774930406,0.0
 0.20899472032248412,14.708731168467734,4.395520385681226,178.35622724253798,0.7314815211286945,3.5000000000000027,-0.05614686320608377,0.0,-2.3564116161525326,0.0
 0.21984529884104406,14.700591590417163,4.395757603484645,178.33065881327485,0.7694585459436543,3.4999999999999987,-0.048235268524949054,0.0,-2.1294980984430785,0.0
 0.2306641658968783,14.692065807503178,4.396009507932832,178.30762005645215,0.8073245806390741,3.5,-0.0417607528448558,0.0,-1.9344107574327067,0.0
 0.24145124150774055,14.683157488484062,4.396275962068802,178.28675342134926,0.8450793452770919,3.499999999999996,-0.036409898836528405,0.0,-1.765443830524552,0.0
 0.2522064471648569,14.673870302118107,4.39655682893557,178.2677657098759,0.8827225650769993,3.500000000000013,-0.031948034022299086,0.0,-1.6181170877645037,0.0
 0.2629297054700291,14.664207917163592,4.396851971576154,178.25041422237578,0.9202539691451019,3.5,-0.028197054882048038,0.0,-1.488872760629348,0.0
 0.2736209398532881,14.654174002378806,4.397161253033565,178.23449633472504,0.9576732894865085,3.5,-0.02502012031771229,0.0,-1.3748564781045511,0.0
 0.28428007435077285,14.643772226522039,4.39748453635082,178.21984155461018,0.9949802602277051,3.5000000000000027,-0.022310893727306273,0.0,-1.27375660760112,0.0
 0.2949070334280665,14.633006258351575,4.397821684570935,178.20630539526675,1.032174616998233,3.500000000000013,-0.019985891357311467,0.0,-1.1836848561052777,0.0
 0.30550174183824996,14.621879766625696,4.398172560736925,178.1937645993668,1.0692560964338753,3.500000000000013,-0.017978940022595962,0.0,-1.1030864458163214,0.0
 0.316064124506762,14.61039642010269,4.398537027891804,178.18211337820964,1.1062244357736675,3.4999999999999947,-0.016237124637579006,0.0,-1.0306717838386048,0.0
 0.3265941064371589,14.598559887540846,4.398914949078588,178.17126042294964,1.1430793725300565,3.4999999999999947,-0.014717781829246606,0.0,-0.9653639134070564,0.0
 0.3370916126332931,14.58637383769845,4.399306187340291,178.1611265092871,1.1798206442165264,3.500000000000016,-0.013386257595424297,0.0,-0.9062577567985092,0.0
 0.34755656803449564,14.573841939333786,4.39971060571993,178.15164256228024,1.2164479881207353,3.5000000000000053,-0.012214197729227544,0.0,-0.8525881728784889,0.0
 0.3579888974611501,14.56096786120514,4.4001280672605185,178.14274808159547,1.2529611411140258,3.499999999999992,-0.011178251316016019,0.0,-0.803704754185627,0.0
